 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
Just walk right in!	直接走進去就對了！
My, my, this is one hot planet!  But you don't care, you're beating the heat with ThermoWeave underwear.	哎呀，這星球還真夠熱的！不過你不在乎，你靠熱織牌內衣扛住這股熱浪。
My, my, this is one hot planet!  Hopefully you'll last more than a few minutes.	哎呀，這星球還真夠熱的！希望你撐得過幾分鐘以上。
The quakes started by the detonator have broken open a huge crack in the planet surface, which you and everything else in the vicinity have fallen into.  The super-heated magma does a quick work of boiling you alive.	引爆器引發的地震在星球表面炸開一道巨大裂縫，你和周遭的一切都掉了進去。滾燙的岩漿三兩下就把你活活煮熟了。
Why not just walk across?	幹嘛不直接走過去就好？
I know you're quite a guy, but even you can't jump across such a wide crevice.	我知道你很厲害，但就算是你，也跳不過這麼寬的裂縫。
You ponder the many uses of the metal pole, but just can't seem to figure out any way it could help you.	你左思右想這根金屬桿的各種用途，卻怎麼也想不出它能幫上什麼忙。
What for?	幹嘛用？
The pole is too short to span the crevice.	這根桿子太短，搭不過裂縫。
My my, things have certainly changed since you were here last!  That unstable rock has fallen into the simmering lava below.	哎呀，自從你上次來過後，這裡可變了不少！那塊不穩定的岩石已經掉進下方翻滾的岩漿裡了。
Your brow furrows in grim determination as you prepare for a tremendous leap.	你眉頭深鎖，帶著堅定的決心，準備來一記驚天一跳。
The impact of your landing set off the thermal detonator.   Your fragments are strewn over a wide area.	你落地的衝擊引爆了熱能引爆器。   你的殘骸散落一地。
The Romanian judge gives you a 9.5!  A truly outstanding jump by one of the finest young athletes we've seen this season.   You'd like to try that again, but your pole seems to have fallen into the tumultuous lava below.	羅馬尼亞裁判給你打了 9.5 分！這是本季所見最出色的年輕選手之一，跳得真是漂亮。   你想再試一次，可惜你的桿子似乎已經掉進下方翻騰的岩漿裡了。
The impact switch on the thermal detonator was triggered by your wobbling on the unstable rock.  Your fragments are strewn over a wide area.	你在那塊不穩定的岩石上搖搖晃晃，觸發了熱能引爆器上的撞擊開關。  你的殘骸散落一地。
It appears that parts of this planet's surface are not entirely stable.  Better be careful or you'll end up in that lava fondue below.	看來這星球部分地表不太穩定。  最好小心點，不然你會變成下面那鍋岩漿火鍋的料。
There aren't any weapons here.	這裡沒有任何武器。
The pirates are packing jello pistols.	這些海盜配備的是果凍手槍。
The planet Ortega is truly a lava-lovers paradise.   Volcanic activity constantly reshapes its surface, so if you have any maps older than last week, throw 'em out.  A few pieces of research equipment are laying around.	歐特加星球真是熔岩愛好者的天堂。   火山活動不斷重塑地表，所以你手上要是有超過一星期的舊地圖，趕快扔了吧。  附近散落著幾件研究設備。
Two ScumSoft lackeys are working at a make-shift research station.  They appear to be monitoring the seismic activity of this area.	兩名廢渣軟體的爪牙正在一座臨時研究站工作。  似乎在監測這一帶的地震活動。
The speeding ship is only a blur.	那艘飛船速度快得只剩一團模糊的殘影。
There's a telescope, some seismic equipment, and a crate of some sort.	這裡有一台望遠鏡、一些地震儀器，還有一個看起來像板條箱的東西。
There's a telescope, an anemometer on a pole, some seismic equipment, and a crate of some sort.	這裡有一副望遠鏡、一支裝在桿子上的風速計、一些地震儀器，還有一個不知道裝什麼的箱子。
A handy metal pole with a thousand and one uses.	一支用途多到數不清的金屬桿。
It looks like a couple of tennis balls cut in half, and spins when the wind blows.	看起來像幾顆網球被切成兩半，風一吹就會旋轉。
It's used for sending and receiving data.	這是用來收發資料的。
It's full of thermal detonators.	裡面裝滿了熱能引爆器。
From here it just looks like an old crate.	從這裡看，就只是個舊箱子。
You need to get real close and look in the little hole first.	你得先靠近一點，往那個小洞裡看。
It looks like it's probably used for surveying and stuff like that.	看起來大概是用來測量之類的東西。
Piles of large volcanic rocks have accumulated here at the base of this volcano.	這座火山的山腳下堆滿了大塊的火山岩。
Most of this stuff is too heavy for one person to carry.	這些東西大多太重了，一個人搬不動。
Nah, it wouldn't do you any good.	算了吧，這對你沒什麼幫助。
It's attached to your pole.	它被固定在你的桿子上。
It's attached firmly to the pole; it won't budge.	它牢牢固定在桿子上，動也動不了。
Only one per customer please.	每位顧客限拿一個。
It's all yours!	這就是你的了！
You pick up one of the detonators.  Be careful, you could blow your fingers off with that thing.	你撿起了一個引爆器。小心點，這玩意可能會把你的手指炸飛。
The pirates are hard at work, they won't notice you if you stay where you are.	海盜們正忙著幹活，只要你待在原地就不會被發現。
Quite the swashbuckler, aren't we?  Too bad there's nobody here.	挺有俠客風範的嘛，是吧？可惜這裡沒人。
With what, your breath?	用什麼，你的一口氣嗎？
Quite the talker, aren't we?  Too bad there's nobody here.	話倒是不少嘛，是吧？可惜這裡沒人聽。
Get a little closer.	再靠近一點。
The crate is already open.	這箱子已經打開了。
Way to go, ace!  You blundered your way to within range of the pirates' jello gun.  You suffocate in an impenetrable block of jello.	幹得好啊，高手！你笨手笨腳地闖進了海盜果凍槍的射程內，被困在一大塊密不透風的果凍裡窒息而死。
You hear the roar of the pirates' scout ship taking off.   The ship streaks across the sky to an unknown destination.	你聽見海盜偵察艦起飛的轟鳴聲。那艘船劃過天際，飛向不知名的目的地。
Obviously loyal company men, the ScumSoft employees are happily performing their duties. But looking at their weapons, you probably don't want to get too close.	這些廢渣軟體的員工顯然是忠心耿耿的公司人，正開開心心地執行任務。但看看他們手上的武器，你大概不會想靠太近。
I don't know about you, but I don't see any ships here.	我是不知道你怎麼想啦，反正我這裡沒看到什麼船。
It's a speedy little short-range skull fighter, fully armed with the latest in offensive weaponry.  You probably wouldn't want to tangle with one of these babies.	這是一架敏捷的短程骷髏戰鬥機，配備了最新型的攻擊武器。你大概不會想跟這種傢伙纏鬥。
The climb becomes less steep as you near the bottom of the volcano.	快到火山山腳時，坡度變得比較平緩。
The climb becomes steeper as you near the rim of the old volcano.	快到這座古老火山口邊緣時，坡度變得更陡了。
You reach the rim of the decayed cinder cone and are overwhelmed by the sight.  An impressive machine of staggering size sits in the middle of the volcanic crater.	你爬到了這座風化火山渣錐的邊緣，眼前的景象讓你震撼不已。火山口中央，矗立著一台大得驚人的機器。
It's pointing to a small moon high in the Ortegian sky.   Pulsating circular energy fields are being emitted into space toward the moon.	它指向歐特加高空中的一顆小衛星。一圈圈脈動的環形能量場正朝那顆衛星射向太空。
It's pointing into the Ortegian sky.  Pulsating circular energy fields are being emitted into space.	它指向歐特加的天空。一圈圈脈動的環形能量場正朝太空射出。
It's pointing to a small moon high in the Ortegian sky.   The beam is no longer being emitted.	它指向歐特加高空中的一顆小衛星。光束已經不再發射了。
It's pointing into the Ortegian sky.  The beam is no longer being emitted.	它指向歐特加的天空。光束已經不再發射了。
  The pulsating energy field is being emitted into space toward Pestulon.	脈動的能量場正朝佩斯圖倫射向太空。
  The pulsating energy field is being emitted into space.	脈動的能量場正朝太空射出。
It's no longer beaming.	已經不再發射光束了。
The rim of the crater towers over you.  Though somewhat eroded, it is still quite tall.	火山口邊緣高聳於你頭頂上方。雖然已經有些風化，但依然相當高聳。
You stand at the massive base of a force beam generator.  This unit can generate a force field powerful enough to encircle a small moon.	你站在一座巨大力場光束產生器的底座前。這台機器能產生出足以包覆一顆小衛星的力場。
There's not too much lava around here.  This is one of the few stable spots on the surface of Ortega.	這附近的熔岩不算多，是歐特加地表少數幾個穩定的地點之一。
The pulsating energy field is being emitted into space toward Pestulon.	脈動的能量場正朝佩斯圖倫射向太空。
The pulsating energy field is being emitted into space.	脈動的能量場正朝太空射出。
There's nothing to climb here.	這裡沒有東西可以爬。
You are on a platform on the rim of the volcanic crater.  A stairway leads down to the base of the massive force field generator.	你站在火山口邊緣的一座平台上。一道階梯通往這台巨大力場產生器的底座。
You are at the base of the massive generator.  A ladder leads up to the top.	你在這台巨大產生器的底座。一道梯子通往頂端。
A ladder runs to the top of the generator.	一道梯子通往產生器頂端。
The stairs lead to the base of the generator.	這道階梯通往產生器的底座。
For people that have trouble with stairs, the rail can be helpful.	對爬樓梯有困難的人來說，扶手應該會有幫助。
It was built to give easy access over the rocky surface.	建造這個是為了方便通過這片崎嶇地面。
You're not close enough to the ladder.	你離梯子還不夠近。
While trying to catch your breath you take in the panoramic view.  Below, you can see your ship off in the distance, and volcanoes stretching out over the horizon.  There is a large circular opening here at the top of this building.  This is where the beam originated, but you blew it up.  Nice going Wilco.	你一邊喘氣一邊欣賞這片全景。往下望，可以看見你的太空船遠遠停在遠方，火山群一路延伸到天邊。這棟建築的頂端有個巨大的圓形開口，光束原本就是從這裡發射的，不過已經被你炸掉了。幹得好啊，威爾科。
While trying to catch your breath you take in the panoramic view.  Below, you can see your ship off in the distance, and volcanoes stretching out over the horizon.  There is a large circular opening here at the top of the generator.  This must be where the beam originates.  Watch your step up here.	你一邊喘氣一邊欣賞這片全景。往下望，可以看見你的太空船遠遠停在遠方，火山群一路延伸到天邊。產生器的頂端有個巨大的圓形開口，這裡想必就是光束發射的地方。在這上面走路要小心點。
Cautiously, you peer down into the generator.   It's too dark to make out anything, but the drone of the generator has stopped.  It appears to be out of commission.	你小心翼翼地往產生器裡頭望去。裡面太暗，什麼也看不清，但產生器的嗡嗡聲已經停了，看來已經報廢了。
Cautiously, you peer down into the generator.   It's too dark to make out anything, but the drone of the generator tells you that something is definitely happening.	你小心翼翼地往產生器裡頭望去。裡面太暗，什麼也看不清，但產生器的嗡嗡聲告訴你，裡面肯定正在發生什麼事。
You can't quite see over the edge from here.	從這裡看不太到邊緣另一頭。
Looks like your typical moon.	看起來就是顆普通的衛星。
The ladder leads back down the curvature of the generator.	這道梯子沿著產生器的弧面通往下方。
Go right ahead!	儘管去吧！
You can't!	你辦不到！
You don't have one.	你沒有這個東西。
It wouldn't do any good to do that here.  Besides, you'll probably just blow your own foot off.	在這裡這麼做也沒什麼用。而且你大概只會把自己的腳炸飛。
The explosion disables the force field generator.  You may now travel safely to Pestulon.	這場爆炸讓力場產生器失去作用。你現在可以安全前往佩斯圖倫了。
The explosion has shut off the beam that was shooting out from this thing.  Someone's gonna be really sore at you for this.	這場爆炸關閉了從這東西發射出來的光束。有人肯定會為此對你恨之入骨。
Seeing no immediate need to remain invisible, you turn off the belt.	眼下沒有繼續隱形的必要，你把腰帶關掉了。
"What a peaceful planet for a software company" you think to yourself. What a shame it had to be ScumSoft. You are surrounded by what can only be described as tree-like growths towering high above you.  The turf has a mossy texture.	「這星球對一間軟體公司來說還真是寧靜」你心裡想著。可惜偏偏是廢渣軟體。你周圍是一片只能形容為樹狀的巨大生長物，高聳於你頭頂之上。地面則是滿是苔蘚般的質感。
The trees are strangely twisted.	這些樹木的形狀詭異地扭曲著。
What looks to be large blue boulders are actually mushroom- like parasitic growths at the base of some of the trees. Never caring much for mushrooms you leave them alone.	看起來像是大塊藍色巨石的東西，其實是長在某些樹根部、類似菇菌的寄生生長物。你向來對菇類沒什麼興趣，於是沒去理它們。
The vibrant colors of the pestulonian sky remind you of your home planet of Xenon.  Suddenly, you feel quite home sick.	佩斯圖倫天空絢麗的色彩，讓你想起了故鄉行星澤農。你忽然感到一陣濃濃的鄉愁。
The mossy surface squishes with each step you take.	你每踩一步，長滿苔蘚的地面就會發出濕黏的聲音。
They're just here for looks so leave them alone, ok?	這些東西只是擺好看的，別去動它們，好嗎？
There is no need to do that.	沒必要這麼做。
The invisibility belt is now completely out of power.	隱形腰帶現在已經完全沒電了。
You are hiding behind some of the strange local vegetation looking out on a clearing and an entrance to a large underground complex. From the logo on the entrance, you deduce that this must be the infamous ScumSoft headquarters.	你躲在一叢奇特的當地植物後面，望向前方的空地，以及一座大型地底建築的入口。從入口上的商標判斷，這裡想必就是惡名昭彰的廢渣軟體總部。
 They are heavily armed and they do not look friendly.	 他們全副武裝，看起來一點也不友善。
You see the ScumSoft entrance in the distance.	你看到遠處有個廢渣軟體的入口。
The ScumSoft door is in the process of opening.	廢渣軟體的大門正在打開。
The ScumSoft door is wide open, but there are two guards standing outside it.	廢渣軟體的大門敞開著，但門外站著兩名守衛。
First you need to wear it.	你得先穿上它才行。
It's already on.	已經穿上了。
"WOW! This thing really works." You then quickly realize that you only have a few moments before the belts power pack is depleted.	「哇！這東西真的有用！」但你很快意識到，腰帶的電源沒剩多少時間了。
You're not wearing it.	你沒有穿戴它。
It's not on.	沒穿上。
OK	確認
Where to Buddy?	要去哪，老兄？
You make your way through the forest of strange trees to this clearing where you discover the entrance to some large underground complex. This must be ScumSoft. Suddenly the door to the complex begins to open.	你穿過一片怪樹林，來到這片空地，發現了一座大型地底建築的入口。這裡一定就是廢渣軟體。突然間，建築的大門開始打開。
Several guards file out of the entrance and disperse into the woods. They must have been alerted to your presence when you landed. Two guards remain behind to watch the entrance.	好幾名守衛從入口魚貫而出，散入林中。他們一定是在你降落時就發現了你的行蹤。兩名守衛則留下來看守入口。
Decision Time. Do you wish to: 	決策時刻到了，你想要：
You now stand invisible before the entrance to ScumSoft. Two mean looking guards stand watch. They've no doubt been instructed to shoot anything that moves so don't waste any more time gawking.	你現在隱形站在廢渣軟體的入口前。兩名兇惡的守衛正在站崗。他們肯定被下令看到任何動靜就開槍，別再傻站著看了。
The guards are armed and alert.	守衛全副武裝、保持警戒。
There are several force field generators creating an impenetrable barrier guarding the area behind the ScumSoft entrance. The force fields themselves are invisible until activated by an intruder.	有好幾座力場產生器，形成一道無法穿透的屏障，守護著廢渣軟體入口後方的區域。力場本身是隱形的，直到被入侵者觸發才會顯現。
Just use your eyes, ok?	用你的眼睛看就好，行嗎？
That would be very dangerous.	那樣做非常危險。
I wouldn't mess with these guys if I were you.	換作是我，才不會去惹這些傢伙。
Oh. No! You've stepped into an electrical force field and as a result you are fried to a crackly crunch. YOU'RE TOAST DUDE!	噢，不！你踩進了電力力場，結果被電得酥酥脆脆。老兄，你烤焦啦！
What's happening??!!	到底怎麼回事？？！！
Uh Oh! The terminator's invisibility belt is losing power!	糟了！魔鬼終結者的隱形腰帶快沒電了！
You're within the outer fortifications of the ScumSoft headquarters. You see an elevator door and a button on the wall.	你已經進入廢渣軟體總部的外圍防線。你看到一扇電梯門，牆上有個按鈕。
It looks like an elevator entrance.	看起來像是電梯入口。
There is a button on the wall next to the elevator door	電梯門旁的牆上有個按鈕
You nervously glance up to the top of the ramp knowing that the guards could come barreling down on you at any moment.	你緊張地瞥向斜坡頂端，知道守衛隨時可能衝下來對付你。
There is a button on the wall by the elevator.	電梯旁的牆上有個按鈕。
The elevator door is tightly sealed.	電梯門緊緊封閉著。
It looks like you've made it just in time, as your invisibility belt is now completely out of power.	看來你及時趕到了，你的隱形腰帶已經完全沒電。
You find yourself in... Guess... A janitor's closet. You certainly have a sixth sense about this kind of thing.	你發現自己身處……猜猜看……一間清潔工儲藏室。你對這種事還真有第六感。
The door leads back into the hallway.	這扇門通往走廊。
That you did.	你確實做到了。
What a great idea, Roger! No one would be suspicious of a janitor walking around. You grab the coveralls and pull them on (seizing the opportune moment to dump all of the old items you've been pocketing along the way). What a great disguise! Wait... what's this?	好主意，羅傑！沒人會懷疑一個清潔工到處走動。你抓起工作服穿上（順便把一路上塞進口袋的舊雜物全丟掉）。偽裝得真好！等等……這是什麼？
You reach down into the pocket of the grimy coveralls and find... well, what do you know, Mr. Garbage! A trash vaporizer. You've seen these babies in all the janitorial supply catalogs but your superiors were always too cheap to outfit you with one.	你把手伸進髒兮兮工作服的口袋，發現……哎呀，垃圾先生，你瞧瞧這是什麼！一把垃圾氣化槍。你在清潔用品型錄上看過這寶貝無數次，但你的上司總是小氣得不肯幫你配一把。
Just walk out.	直接走出去就好。
You are walking down a circular hallway... going %swhere.	你正走在一條環形走廊上……正往%s方向前進。
You are in a hallway... somewhere deep in the innards of ScumSoft, Inc.	你身處一條走廊……深藏在廢渣軟體公司內部的某處。
You are entering an interminably long hallway.	你正走進一條沒完沒了的長走廊。
You are leaving the hallway.	你正離開走廊。
Technically speaking, you're in a hallway.	嚴格來說，你人在走廊裡。
The door has a keycard security system as well as a composite facial scanner. It will be pretty tricky gaining access.	這扇門裝有卡片安全系統，還有複合式臉部掃描器。想闖進去恐怕相當棘手。
A door leads out of the hallway.	有扇門通往走廊外。
There's not a door in sight.	這裡看不到任何門。
Second quessing yourself, you leave the `disguise' on.	你猶豫了一下，還是把「偽裝」留在身上。
This is neither the time nor the place for that.	現在不是時候，這裡也不是地方。
'Using what?' you ask of yourself.	「要用什麼？」你自問。
Do that.	就這麼做。
A security system adjoins this door. There must be something worthwhile on the other side.	這扇門裝有安全系統。另一邊肯定有值得一探的東西。
Tampering with the security system can only lead to misfortune.	亂動安全系統只會招來厄運。
This door is locked.	這扇門鎖住了。
Walk in front of a door if you want it to open.	想開門就走到門前去。
Don't worry about the doors; they'll take care of themselves.	別擔心那些門，它們自己會處理好。
You are not near a locked door.	你附近沒有上鎖的門。
Easier said than done without the proper keycard.	沒有對的鑰匙卡，說得容易做起來難。
These things take time...	這種事急不來……
You're not facing a locked door.	你面前沒有上鎖的門。
You need to get closer to the scanner.	你得再靠近掃描器一點。
Do or don't; the fact remains the door is locked.	做不做隨你，反正門就是鎖著的。
The door is not an obstacle.	這扇門不是障礙物。
Don't step on a crack!	別踩到裂縫！
You've already found the vaporizer; the handkerchief is a permanent fixture.	你已經找到氣化槍了；那條手帕是固定配備。
You haven't got any!	你根本沒有！
You wouldn't be able to see where you were going.	你會看不清自己要往哪走。
You don't have such.	你沒有這種東西。
Rummaging about the cramped closet you find a pair of old, grimy janitorial coveralls.	你在狹窄的儲藏室裡翻找，找到一套又舊又髒的清潔工工作服。
Your thorough search reveals a lot of used junk, but nothing of value to you.	你仔仔細細搜了一遍，翻出一堆廢舊雜物，但沒有一樣對你有用。
You hear several clicks. "I'm in" you think to yourself.	你聽到幾聲喀嗒聲。「進去了。」你心想。
Then you hear a synthesized voice say, "Keycard verified. Standby for composite facial scan."	接著你聽到一個合成語音說：「卡片驗證通過，請準備進行複合式臉部掃描。」
Composite Facial Scan complete: Access denied.	複合式臉部掃描完成：拒絕存取。
The calendar indicates today.	月曆顯示的是今天。
As might be expected, the water cooler is empty.	不出所料，飲水機是空的。
The plants are just plants.	這些植物就只是植物而已。
The plants have already been watered, thank you.	這些植物已經澆過水了，謝謝。
It's a bit late for that now.	現在才做這個，有點太遲了。
It's your typical office copier. Untypically, it works.	這是台典型的辦公室影印機。不典型的是，它居然能用。
There is clearly a picture on the wall.	牆上顯然掛著一張照片。
There is a color copy machine which, oddly enough, is not currently under repair.	這裡有台彩色影印機，奇怪的是，它現在居然沒故障。
You already did.	你已經做過了。
That wouldn't fool anybody.	這種把戲騙不了任何人。
"Hello there", you say to the nerd.	「哈囉」，你對這個宅男說。
He asks "Have you seen my pocket protector around here?"	他問：「你有在這附近看到我的口袋防護套嗎？」
One copy per customer.	每位顧客限印一份。
It would help matters if you had an object suitable for copying.	如果你手上有適合拿來影印的東西，事情會好辦得多。
Get real.	醒醒吧。
Foolishly, you retake the picture of Elmo.	你傻傻地把艾爾莫的照片拿了回來。
Surreptitiously, you snatch the picture of Elmo.	你偷偷摸摸地把艾爾莫的照片抓走。
Wisely, you replace the original picture of Elmo.	你很明智地把艾爾莫的原始照片放了回去。
Make up your mind.	拿定主意吧。
First making sure that no one is watching, you slip Elmo's picture into the copier and press the start button...	你先確認沒人在看，接著把艾爾莫的照片塞進影印機，按下啟動鈕……
Out pops a beautifully reproduced copy which you roll up and stash in your pocket.	一張複製得美輪美奐的照片彈了出來，你把它捲起來塞進口袋。
Don't forget the original!	別忘了拿走原本那張！
You are in the boss' cubicle area and the boss is in. Be reverent.	你在老闆的隔間區，老闆在裡面。放尊重點。
You are in the boss' cubicle area and the boss is out. Be yourself.	你在老闆的隔間區，老闆不在。放輕鬆做自己。
Behind the desk sits a boy who looks to be about 14 years old. "Do your job and get out" he blurbs.	辦公桌後坐著一個看起來大概 14 歲的男孩。他脫口而出：「做完你的事就滾。」
Over the top of the partitions you can see two gentlemen cracking whips. You assume that it must be the programming department.	隔板上方，你看到兩位先生正甩著鞭子。你猜這裡大概就是程式部門。
Better keep your distance!	最好離遠一點！
"Just do your job and scram", he bellows in response.	「做完你的事就滾」，他咆哮著回應。
Your words fall on deaf ears.	你說的話對方完全沒在聽。
Don't be foolish!	別傻了！
All of the desk drawers are locked. However, someone has carelessly left a keycard on the desk.	所有的抽屜都上了鎖。不過，有人不小心把一張門卡留在桌上。
All of the desk drawers are locked.	所有的抽屜都上了鎖。
You're not in a position to do that.	你現在沒立場這麼做。
Not a wise choice at this time.	現在這麼做不是明智之舉。
You take the keycard.	你拿走了門卡。
You're not near one.	你附近沒有這種東西。
You already have the keycard.	你已經有那張門卡了。
That is not available.	這個辦不到。
You stand on a platform overlooking the Scum Soft vehicle bay.  In the center of the hangar sits your ship surrounded by rows of short-range skull fighters.  Now how will you ever get out of here?	你站在一座平台上，俯瞰廢渣軟體的載具機庫。機庫中央停著你的太空船，四周圍繞著一排排短程骷髏戰機。現在你到底要怎麼離開這裡？
Your ship doesn't appear to have been tampered with.  You realize that it's only a matter of time before you are found as well.  Better get on to the business at hand: finding those Two Guys.	你的太空船看起來沒被動過手腳。你也明白自己被發現只是遲早的事。還是先辦正事要緊：找到那兩位仙女座雙傑。
The short-range fighters are well armed and ready for action.  Even if you do manage to escape, they'll no doubt send these babies after you.	這些短程戰機武裝齊全、隨時待命。就算你真的成功逃走，他們肯定會派這些傢伙來追你。
The opened hangar doors reveal the Pestulonian sky above.	敞開的機庫大門，露出上方佩斯圖倫星的天空。
Forget it!	算了吧！
Looking down the deep shaft makes you giddy.	往下看這道深不見底的豎井，讓你頭暈目眩。
The only visible means of access to the detention platform is by means of retractable bridges.	唯一能通往拘留平台的方式，看起來就是靠這些可伸縮的橋。
Massive doors feed into the detention chamber from parts unknown.	幾扇巨大的門從不知名的地方通向這間拘留室。
The lines warn you to watch your step!	地上的標線警告你走路要小心！
Other than the tightly sealed doors, the walls reveal no exits.	除了那些緊閉的門，牆上看不出任何出口。
You notice several darkened observation windows high above. You hope no one is observing you now.	你注意到上方有幾扇暗著的觀察窗。你希望現在沒人正在看著你。
An array of control buttons adjoins each door.	每扇門旁邊都有一排控制按鈕。
Jesse Owens you ain't.	你才不是什麼飛毛腿傑西·歐文斯。
There is not a button in your reach.	你手構不到任何按鈕。
You cautiously enter a darkened chamber. A seemingly bottomless shaft drops off into a black abyss. On a platform in the center of the chamber, the Two Guys from Andromeda wiggle helplessly in lime jello. The platform can only be reached by the four retractable bridges at each entrance.	你小心翼翼地走進一間昏暗的密室。一道深不見底的豎井直墜漆黑深淵。密室中央的平台上，仙女座雙傑正無助地在萊姆果凍裡扭動掙扎。要抵達這座平台，只能靠每個入口那四座可伸縮的橋。
'HELPH!' they slurp from their jello-encased captivity.	「揪命啊！」他們被果凍困住，含糊地喊著。
Good idea! But how?	好主意！但要怎麼做？
This is not your ordinary store-bought jello.	這可不是什麼超市買得到的普通果凍。
Yuck! You hate lime jello!	噁！你最討厭萊姆果凍了！
From where you stand, it couldn't be done.	你站的這個位置，根本辦不到。
Horrors!	太可怕了！
The resilient jello resists your attempts.	這果凍韌性十足，抵擋住了你的嘗試。
The jello exists no more.	果凍已經不復存在。
It's been vaporized into oblivion.	它已經被徹底汽化，消失無蹤。
It's a bit late for that now!	現在才做這個，有點太遲了！
Your puny vaporizer is ineffective.	你那把弱雞汽化槍根本沒用。
How now?	現在該怎麼辦？
Good news: you have freed the two guys from Andromeda!	好消息：你救出了仙女座雙傑！
Bad news: you have been discovered meddling about.	壞消息：你被發現在這裡搞東搞西了。
The two guys look to you for direction.	兩位仙女座雙傑望向你，等你指示。
The guards are looking at you.	守衛正盯著你看。
Your every move is being observed.	你的一舉一動都被人監視著。
Elmo Pug, the president of ScumSoft, is in charge here.	艾爾莫·帕格，廢渣軟體的總裁，是這裡的負責人。
Elmo Pug is doing all the talking now.	現在都是艾爾莫·帕格在說話。
You successfully free the two guys from their slimey confines and they begin to speak:	你成功把兩人從黏糊糊的囚禁中救出來，他們開口說話了：
"Thanks dude! It's great to be out of that green stuff. Hey, what's your name?"	「謝啦老兄！能離開那堆綠色黏液真是太好了。嘿，你叫什麼名字？」
"Roger Wilco," you admit.	「羅傑·威爾科，」你老實回答。
"They discovered our distress message we coded into the Astro Chicken game and sent us here as punishment. Let's get out of here before we're discovered!"	「他們發現了我們藏在太空雞遊戲裡的求救訊息，把我們送來這裡當懲罰。趁還沒被發現，趕快離開這裡！」
So... what's your plan for getting us out of here, Wilco?	那……威爾科，你打算怎麼帶我們離開這裡？
Nobody's going anywhere... heh, heh, heh! You must have thought you were pretty clever, Mr. Wilco, disguising yourself as a janitor.	誰也別想離開……嘿嘿嘿！威爾科先生，你一定覺得自己扮成清潔工很聰明吧。
Unfortunately for you, my boys found your sorry excuse for a ship in the woods. Escort this gentleman to the ARENA. You boys haven't seen a good fight in quite a while.	可惜對你來說，我的手下在樹林裡找到你那艘破船了。把這位先生押去競技場。你們這些傢伙也好久沒看過一場好戲了。
And do away with those two Andromedans. They have been more trouble than they're worth. TAKE THEM AWAY!	至於那兩個仙女座人，處理掉。他們帶來的麻煩早就超過他們的價值了。把他們帶走！
-- INSTRUCTIONS --	-- 操作說明 --
  use arrow keys to	  用方向鍵
 control your robot	 操控你的機器人
use the J key to punch	按 J 鍵出拳
use the M key to block	按 M 鍵格擋
Press Any Key To Start	按任意鍵開始
Ok Wilco, the name of the game is Nukem Dukem Robots.   The only rule is that there are no rules!	好啦威爾科，這遊戲叫「轟殺機器人」。唯一的規則就是沒有規則！
You have a limited power supply.  A successful blow will absorb my robot's energy and vice versa.  On the other hand, a wasted movement of any kind will rapidly deplete your robot's power.  Sounds like fun, huh?	你的能量供應是有限的。打中一拳就能吸收我機器人的能量，反之亦然。另一方面，任何浪費的動作都會讓你機器人的能量迅速耗盡。聽起來很好玩吧？
Anyway, here's the deal.  If you win (snicker), you have the honor of becoming Scum Soft's new full-time janitor.   Ha! Ha!  but... if I win... you'll be DEAD!!	總之，條件是這樣的。如果你贏了（暗笑），你就有榮幸成為廢渣軟體的新任專職清潔工。哈！哈！但……如果我贏了……你就死定了！！
Oh, by the way, your friends, The Two Guys from Andromeda have joined us, as you can see below.  Be careful not to STEP on them.  Heh, heh, heh.	對了，順帶一提，你的朋友——仙女座雙傑，已經加入我們了，你可以看到他們就在下面。小心別踩到他們喔。嘿嘿嘿。
               LET THE GAME BEGIN!	               遊戲開始！
Greetings Earthling. We are the Two Guys From Andromeda, Universally famous software authors.	地球人你好。我們是仙女座雙傑，享譽全宇宙的軟體作者。
And I am Roger Wilco, Space age swashbuckler and all around nice guy.	而我是羅傑·威爾科，太空時代的俠客，也是個處處討喜的好人。
Hello, I'm Ken Williams, President and founder of Sierra On-line. Sooo... You two guys are software authors heh? What are your credits?	你好，我是肯·威廉斯，Sierra On-line 的總裁兼創辦人。那個……你們兩位是軟體作者對吧？有什麼代表作？
Ever heard of ASTRO CHICKEN?	聽過《太空雞》嗎？
No	不是
Good!	很好！
How about you two guys coming to work for me?	你們兩個要不要來幫我做事？
Sounds great! How many buckazoids does it pay?	聽起來不錯！薪水有多少太空幣？
Buckazoids?	太空幣？
Say... Uh...Mr. Williams. Do you need a janitor?	那個……呃……威廉斯先生。你缺清潔工嗎？
As our space saga comes to a close, Roger, feeling a little left out, struts off to his ship with the satisfaction of knowing his mission has been accomplished.	隨著這段太空傳奇即將落幕，羅傑雖然有點被冷落，仍帶著任務圓滿達成的滿足感，昂首闊步走回自己的太空船。
 The Two Guys from Andromeda go on to create the Space Quest series of adventure games reaping fame and fortune. They grow fat on their success and soon become burnt out and begin a drunken tailspin into obscurity.	 仙女座雙傑後來創作了《太空傳奇》系列冒險遊戲，名利雙收。他們在成功中養尊處優，很快便江郎才盡，開始醉醺醺地一路沉淪，逐漸被世人遺忘。
